Rank,Warmest Avg High,,Warmest Avg Mean,,Warmest Average Low,,Coldest Average High,,Coldest Average Mean,,Coldest Average Low,
1,17.9,1900,9.5,1915,3.3,1955,2.1,1950,-2.9,1893,-9.4,1874
2,16.8,1952,9.4,2006,2.9,2006,2.6,1907,-2.7,1874,-8.7,1893
3,16.7,1895,9.0,1952,2.6,1915,3.0,1893,-2.1,1907,-7.6,1880
4,16.3,1915,8.9,1900,1.6,1913,3.1,1956,-2.1,2013,-7.6,1881
5,16.1,1980,8.9,1987,1.6,1925,3.1,1996,-1.6,1950,-7.3,2013
6,16.1,1987,8.6,1955,1.5,1987,3.2,2013,-1.6,1996,-7.2,1877
7,16.1,2010,8.5,1895,1.4,1878,3.3,2022,-1.4,1880,-6.9,1936
8,16.0,1977,8.4,1906,1.4,2005,3.9,1979,-1.2,1920,-6.8,1907
9,15.8,1906,8.3,2010,1.1,1952,4.0,1874,-1.2,1936,-6.6,2018
10,15.8,2006,7.9,1913,1.0,1991,4.1,1945,-0.9,1909,-6.5,1920
11,15.6,1998,7.9,1980,0.9,1906,4.1,1909,-0.9,1956,-6.3,1872
12,14.2,1913,7.9,1998,0.6,1930,4.1,1920,-0.8,1997,-6.3,1996
13,14.2,1984,7.5,1878,0.5,2010,4.2,1997,-0.6,1872,-5.9,1909
14,13.9,1985,7.4,1977,0.4,1941,4.5,1936,-0.6,1881,-5.8,1888
15,13.8,1955,7.4,2005,0.3,1895,4.6,1884,-0.6,1979,-5.7,1995
16,13.6,1878,7.2,1984,0.3,1946,4.9,1880,-0.3,2022,-5.7,1997
17,13.6,1891,7.2,1991,0.3,1999,5.2,1872,-0.1,1875,-5.5,1875
18,13.5,1988,7.1,1925,0.2,1942,5.3,2014,0.2,1884,-5.3,1883
19,13.4,1991,6.8,1946,0.2,1949,5.4,1875,0.2,1945,-5.3,1962
20,13.2,1946,6.8,1999,0.2,1984,5.4,1954,0.3,1877,-5.2,1882
21,13.2,1999,6.7,1891,0.2,1998,5.4,1970,0.3,1888,-5.2,1950
22,13.2,2005,6.4,1930,-0.2,1900,5.6,1892,0.3,1962,-5.1,1979
23,13.2,2015,6.3,1985,-0.2,1927,5.7,1966,0.3,2014,-4.9,1923
24,13.1,1910,6.1,1910,-0.3,1891,5.7,1967,0.3,2018,-4.9,1967
25,13.0,1901,6.0,1901,-0.3,1980,5.8,1962,0.4,1967,-4.8,1956
26,12.9,2012,6.0,1949,-0.4,1919,6.1,2023,0.4,1995,-4.8,1973
27,12.8,1976,6.0,1976,-0.4,1958,6.2,1883,0.5,1883,-4.7,1873
28,12.8,2003,5.9,1886,-0.6,1922,6.2,1960,0.6,1954,-4.7,2014
29,12.7,1889,5.9,1969,-0.6,1931,6.4,1881,0.7,1892,-4.5,1887
30,12.6,1918,5.9,2012,-0.6,1964,6.4,1888,0.9,1882,-4.4,2002
31,12.6,1925,-,-,-,-,-,-,-,-,-,-
