Rank,Warmest Avg High,,Warmest Avg Mean,,Warmest Average Low,,Coldest Average High,,Coldest Average Mean,,Coldest Average Low,
1,29.7,1983,22.5,1983,15.2,1983,20.4,2004,14.3,2004,8.0,1977
2,29.5,1961,21.6,1961,14.8,1955,20.6,1968,14.4,1977,8.1,2004 E
3,28.7,2003,21.6,2003,14.4,1947,20.8,1977,15.2,1885,8.3,1887
4,28.4,1920,21.3,1949,14.4,1949,21.2,1912,15.2,1890,8.3,1890
5,28.2,1949,21.3,1955,14.4,1969,21.5,1885,15.5,1968,8.6,1888
6,28.2,1984,21.0,1920,14.4,2003,21.5,1985,15.7,1912,8.9,1885
7,28.0,1991,21.0,1984,14.1,1959,21.7,1884,16.0,1887,8.9,1895
8,28.0,1998,20.9,1930,13.9,1937,22.1,1890,16.1,1884,9.0,1896
9,27.9,1930,20.9,1969,13.8,1930,22.2,1907,16.2,1904,9.4,1883
10,27.8,2011,20.9,1991,13.8,1991,22.2,1992,16.3,1883,9.4,1910
11,27.7,1915,20.8,1937,13.7,1953,22.3,1975,16.3,1888,9.5,1891
12,27.7,1929,20.7,1998,13.7,1984,22.4,1951,16.3,1903,9.8,1904
13,27.7,1955,20.3,2011,13.6,1920,22.5,1904,16.3,1985,9.8,1923
14,27.6,1937,20.2,1929,13.6,1960,22.5,1980,16.4,1891,9.8,1979
15,27.5,1990,20.2,1953,13.6,1961,22.6,1903,16.4,1895,9.8,1994
16,27.3,1969,20.2,1988,13.6,1981,22.7,1880,16.4,1907,9.9,1897
17,27.0,1988,20.1,1947,13.4,1925,22.7,1964,16.4,1979,9.9,1903
18,27.0,2006,20.1,1959,13.3,1939,22.7,1974,16.4,1992,9.9,1967
19,27.0,2012,20.1,1981,13.3,1998,22.8,1950,16.5,1896,9.9,2017 E
20,26.9,1878,20.0,1990,13.3,2025,22.8,2009,16.5,1897,10.1,1893
21,26.9,1889,19.9,1939,13.2,1948,22.9,1979,16.5,1950,10.1,1908
22,26.9,1894,19.9,1973,13.2,1988,22.9,1993,16.5,1964,10.1,1950
23,26.9,2018,19.9,1995 C,13.1,1900,23.0,1897,16.5,1994 E,10.1,1965
24,26.8,1882,19.8,1948,13.1,1931,23.0,1982,16.7,1880,10.2,1886
25,26.8,1995,19.8,1960,13.1,1940,23.1,1954,16.7,1974,10.2,1912
26,26.7,1938,19.8,2006,13.1,1957,23.2,1883,16.7,1975,10.3,1875
27,26.7,1953,19.7,1900,13.1,1973,23.2,1934,16.8,1923,10.3,1881
28,26.7,1973,19.7,1922,13.1,2014,23.3,1891,16.8,1951,10.3,1964
29,26.7,2020,19.7,1925,13.0,1963,23.3,1994 E,16.8,1982,10.4,1884
30,26.6,1981,19.7,1940,13.0,2008,23.5,1879,16.9,1908,10.4,1889
31,-,-,-,-,13.0,2010,23.5,1914,16.9,1910,10.4,1894
32,-,-,-,-,-,-,23.5,1935,16.9,1934,10.4,1968
33,-,-,-,-,-,-,23.5,1987,16.9,1980,-,-
