Rank,Warmest Avg High,,Warmest Avg Mean,,Warmest Average Low,,Coldest Average High,,Coldest Average Mean,,Coldest Average Low,
1,0.3,1877,-3.4,1877,-7.1,1877,-20.8,1879,-26.0,1879,-31.1,1879
2,-1.2,2023,-5.3,1997,-9.0,1997,-17.0,1872 DR,-22.4,1872 DR,-28.4,1876
3,-1.5,1997,-5.8,2023,-10.2,1939,-16.2,2000,-22.0,2000,-28.1,1893
4,-2.2,1913,-6.2,1939,-10.3,2023,-16.1,2013,-21.8,1876,-27.8,2000
5,-2.2,1939,-7.1,1913,-10.6,1931,-15.9,1983,-21.4,1893,-27.7,1872 DR
6,-3.0,1999,-7.1,1959,-10.9,1959,-15.7,1917,-20.9,2013,-26.0,1933
7,-3.3,1959,-7.2,1931,-11.6,1928,-15.7,1924,-20.4,1933,-25.6,2013
8,-3.3,2020,-7.9,1923,-11.6,2015,-15.7,1927,-20.3,1983,-25.3,1989
9,-3.5,2011,-8.0,1928,-11.7,1987,-15.3,1884,-20.0,1886,-25.2,1883
10,-3.6,1923,-8.1,2011,-11.9,1913,-15.2,1876,-19.9,1917,-25.0,1976
11,-3.7,1931,-8.1,2015,-12.1,1952,-15.1,1886,-19.8,1884,-24.8,1886
12,-4.2,1974,-8.2,1987,-12.1,1954,-14.9,1972,-19.8,1989,-24.6,1880
13,-4.3,1890,-8.4,1954,-12.2,1923,-14.7,1893,-19.5,1924,-24.6,1983
14,-4.3,2002,-8.4,2020,-12.6,2011,-14.7,1933,-19.4,1927,-24.2,1884
15,-4.4,1928,-8.5,2002,-12.7,2002,-14.7,2008,-19.3,2008,-24.1,1917
16,-4.5,2015,-8.6,1952,-12.8,2005,-14.3,1989,-19.2,1880,-24.1,1964
17,-4.6,1894,-8.7,1974,-13.1,1974,-14.0,1996,-19.2,1972,-24.0,1892
18,-4.6,1987,-8.7,1999,-13.5,2020,-13.7,1880,-18.9,1883,-23.9,2008
19,-4.7,1954,-9.1,2005,-13.8,2014,-13.6,1955,-18.7,1964,-23.6,1887
20,-4.7,2006,-9.7,1894,-13.9,1930,-13.3,1964,-18.6,1892,-23.4,1972
21,-4.8,1907,-9.7,2003,-14.1,2024,-13.2,1916,-18.5,1976,-23.3,1924
22,-4.8,1943,-9.7,2006,-14.2,1969,-13.1,1892,-18.4,1996,-23.1,1927
23,-4.8,2003,-9.8,1979,-14.2,1986,-13.1,1977,-18.2,1887,-22.7,1978
24,-4.9,1979,-9.8,1982,-14.3,1999,-12.9,1958,-18.0,1955,-22.7,1996
25,-5.0,1952,-9.9,1907,-14.4,1982,-12.9,1985,-17.8,1978,-22.6,1874
26,-5.3,1888,-10.0,1965,-14.5,1918,-12.8,1887,-17.7,1985,-22.6,1903
27,-5.3,1965,-10.0,2014,-14.5,2003,-12.8,1914,-17.6,1984,-22.5,1984
28,-5.3,1982,-10.1,1986,-14.6,1911,-12.8,1978,-17.4,1958,-22.5,1985
29,-5.4,2001,-10.2,1969,-14.6,1965,-12.7,1919,-17.4,1977,-22.4,1875
30,-5.4,2005,-10.2,2024,-14.6,2006,-12.7,1984,-17.3,1882,-22.4,1955
31,-,-,-,-,-,-,-,-,-17.3,1970,-,-
