Rank,Warmest Avg High,,Warmest Avg Mean,,Warmest Average Low,,Coldest Average High,,Coldest Average Mean,,Coldest Average Low,
1,15.0,1963,8.6,1963,3.3,2016,5.0,1873,-0.2,1896,-6.1,1896
2,14.0,2024,8.3,2024,2.9,1931,5.4,1881,-0.1,1881,-5.7,1875
3,13.2,1923,8.0,2016,2.8,2025,5.6,1896,0.0,1873,-5.6,1881
4,13.2,2021,7.9,1931,2.6,2024,5.8,1959,0.2,1875,-5.2,1887
5,13.0,1948,7.9,2025,2.3,1953,5.9,1985,0.8,1880,-5.0,1873
6,12.9,2025,7.5,1923,2.3,1963,6.1,1875,1.0,1985,-4.7,1880
7,12.8,1931,7.3,1953,2.0,1922,6.2,1926,1.2,1883,-4.3,1883
8,12.8,2009,7.3,2009,2.0,2015,6.3,1880,1.2,1919,-4.2,1876
9,12.8,2016,7.3,2015,1.9,1923,6.4,1919,1.5,1887,-4.0,1895
10,12.6,1920,7.3,2021,1.8,2023,6.4,2018,1.6,1876,-3.9,1919
11,12.6,2011,7.2,1948,1.7,1914,6.8,1883,1.8,1935,-3.8,1985
12,12.6,2015,7.1,1914,1.7,2009,6.8,1991,1.8,1991,-3.7,1886
13,12.4,1914,7.1,1920,1.5,1920,7.0,1935,1.9,2018,-3.7,1893
14,12.2,1953,7.0,1922,1.5,1944,7.2,1884,2.0,1959,-3.5,1995 E
15,12.1,1994,6.8,1994,1.5,1994,7.3,1951,2.0,1972,-3.4,1935
16,12.1,2001,6.8,2011,1.4,1908,7.3,1972,2.1,1995 E,-3.3,1972
17,12.0,1906,6.8,2023,1.4,1948,7.5,1876,2.1,1996,-3.3,1996
18,12.0,1938,6.6,2004,1.3,1940,7.6,1933,2.2,1893,-3.2,1976 C
19,11.9,1899,6.5,1940,1.3,1954,7.6,1996,2.2,1895,-3.2,1991
20,11.9,1922,6.3,1908,1.3,2021,7.7,1993,2.3,1884,-3.1,1874 E
21,11.9,2004,6.3,1962,1.2,1934,7.7,1995,2.3,1926,-3.1,1892
22,11.8,2023,6.3,2001,1.2,1981,7.7,2019,2.5,1986,-3.1,1965
23,11.7,1940,6.2,1899,1.2,2004,7.8,1925,2.6,1886,-3.0,1966
24,11.5,1962,6.2,1981,1.1,1912,7.9,1932,2.6,1965,-3.0,1986
25,11.5,2005,6.1,1906,1.0,1962,7.9,1945,2.6,1993,-2.9,1889
26,11.3,1908,6.1,2005,1.0,2011,7.9,2002,2.6,2002,-2.9,1891
27,11.3,1909,5.9,1944,0.9,1968,8.0,1872,2.7,1933,-2.9,1903
28,11.3,1998,5.9,1998,0.8,1983,8.0,1893,2.7,1951,-2.8,2002
29,11.3,1999,5.8,1904,0.7,1949,8.0,1986,2.8,1932,-2.7,2018
30,11.2,1952,5.7,1938,0.7,2005,8.2,1887,2.9,1889,-2.7,2020
31,11.2,1981,5.7,1954,-,-,8.2,1946,2.9,1966,-,-
32,11.2,1987,5.7,1968,-,-,-,-,-,-,-,-
33,11.2,1990,-,-,-,-,-,-,-,-,-,-
