Rank,Warmest Avg High,,Warmest Avg Mean,,Warmest Average Low,,Coldest Average High,,Coldest Average Mean,,Coldest Average Low,
1,0.1,1878,-4.6,1998,-7.6,1998,-20.5,1936,-26.1,1875,-32.7,1875
2,-1.6,1998,-5.1,1878,-10.2,1878,-19.4,1875,-25.6,1936,-30.7,1884
3,-2.3,1954,-6.4,1987 E,-10.3,1987,-17.7,1884,-24.2,1884,-30.6,1936
4,-2.4,1877,-6.4,2024,-10.5,2024,-17.7,1939,-22.8,1939,-29.3,1879
5,-2.4,2024,-6.7,1984,-11.0,1984,-17.1,1914,-22.7,1876,-29.3,1893
6,-2.5,1984,-7.0,1954,-11.7,1954,-16.8,1979,-22.7,1914,-29.2,1887
7,-2.5,1987 E,-7.8,1931,-12.4,1931,-16.4,1876,-22.6,1893,-28.9,1876
8,-3.2,1931,-8.0,1999,-12.4,1999,-16.3,1917,-22.5,1879 E,-28.3,1890
9,-3.3,1935,-8.9,1877,-14.1,2000,-16.1,1885,-22.5,1887,-28.3,1904
10,-3.5,1999,-8.9,2000,-14.1,1915,-16.1,1904,-22.2,1885,-28.2,1885
11,-3.6,2000,-9.0,1935,-14.2,2017,-15.8,1893,-22.2,1904,-28.2,1914
12,-4.2,2002,-9.7,1915,-14.6,1991,-15.8,1949,-22.0,1979,-28.0,1891
13,-4.2,2012,-10.0,1991,-14.7,1935,-15.7,1879 E,-21.6,1891,-27.8,1883
14,-5.2,1915,-10.0,2002,-14.7,1981,-15.7,1887,-21.6,1899,-27.8,1939
15,-5.2,2026,-10.0,2017,-14.7,1930,-15.7,1899,-21.5,1890,-27.6,1967
16,-5.4,1991,-10.1,1981,-14.8,1992,-15.1,1891,-21.2,1917,-27.5,1899
17,-5.4,1992,-10.1,1992,-14.9,1952,-14.8,2019,-21.2,1949,-27.2,1900
18,-5.4,1952,-10.1,2012,-14.9,1983,-14.6,1890,-21.1,1883,-27.2,1979
19,-5.5,1981,-10.2,1952,-15.2,1928,-14.6,1967,-21.1,1967,-26.6,1949
20,-5.6,1924,-10.5,1983,-15.3,1926,-14.6,2014,-20.7,1900,-26.2,1889
21,-5.7,2017,-10.7,1926,-15.4,1877,-14.4,1883,-20.0,2014,-26.0,1880
22,-5.8,1976,-10.8,1928,-15.7,2002,-14.2,1900,-19.9,1889,-26.0,1917
23,-6.1,1983,-10.8,2026,-15.8,1961,-13.8,1962,-19.9,2019,-26.0,2022
24,-6.1,1926,-11.0,1930,-15.9,2016,-13.8,1972,-19.7,2022,-25.7,2003
25,-6.1,1902,-11.1,1924,-16.0,2012,-13.7,2015,-19.6,1962,-25.6,1888
26,-6.3,1928,-11.1,2016,-16.4,2026,-13.6,1889,-19.4,2003,-25.3,1962
27,-6.3,1964,-11.2,1961,-16.6,1921,-13.4,2007,-19.3,1888,-25.3,1966
28,-6.3,2016,-11.6,1976,-16.6,1924,-13.3,2022,-19.3,1972,-25.3,2014
29,-6.6,1961,-11.7,1921,-16.6,2004,-13.2,1989,-19.2,2015,-25.0,2019
30,-6.6,1977,-11.7,1977,-16.7,1977,-13.2,2001,-19.1,1880,-24.9,1933
31,-,-,-11.7,2004,-,-,-,-,-,-,-,-
