Rank,Warmest Avg High,,Warmest Avg Mean,,Warmest Average Low,,Coldest Average High,,Coldest Average Mean,,Coldest Average Low,
1,-3.3,2006,-7.4,2006,-11.4,2006,-22.3,1950,-27.0,1875,-33.1,1875
2,-5.6,1944,-10.4,2021,-15.1,2021,-21.1,1966,-26.7,1883,-32.7,1887
3,-5.6,2021,-10.6,1944,-15.5,1944,-21.0,1888,-26.7,1966,-32.6,1883
4,-5.9,2012,-10.8,2012,-15.6,2012,-20.8,1875,-26.6,1950,-32.2,1966
5,-6.3,1942,-11.4,1942,-15.8,2024,-20.8,1883,-26.3,1887,-31.4,1886
6,-6.6,1990,-11.4,1992 E,-16.1,1992,-20.7,1886,-26.1,1886,-31.1,1888
7,-6.8,1992,-11.6,1990,-16.2,1931,-19.9,1982,-26.1,1888,-30.9,1950
8,-7.0,1902,-11.8,1919,-16.4,1919,-19.8,1887,-25.1,1936,-30.6,1936
9,-7.0,1987,-11.8,1987,-16.4,1942,-19.8,1937,-25.1,1982,-30.5,1885
10,-7.1,1919,-11.9,1958,-16.5,1987,-19.6,1912,-25.0,1885,-30.4,1982
11,-7.1,1958,-12.2,1931,-16.6,1990,-19.6,1936,-25.0,1937,-30.2,1890
12,-7.2,2001,-12.2,2024,-16.7,1958,-19.4,1885,-24.8,1890,-30.1,1884
13,-7.3,1878,-12.4,1983,-16.7,2020,-19.4,1890,-24.3,1912,-30.1,1937
14,-7.8,1908,-12.5,2020,-16.8,1983 E,-19.2,1929,-24.1,1907,-29.8,1893
15,-7.8,1983,-12.6,2001,-17.1,1928,-18.7,1994,-23.8,1884,-29.8,1907
16,-8.0,1986,-13.1,1878,-17.1,2017,-18.4,1907,-23.5,1911,-28.9,1881
17,-8.1,1900,-13.1,1928,-17.4,2010,-18.3,1911,-23.4,1929,-28.9,1912
18,-8.1,1934,-13.1,1986,-17.9,2001,-18.1,1954,-23.3,1881,-28.8,1877
19,-8.2,1906,-13.1,2017,-18.0,2023,-18.1,1996 C,-23.3,1893,-28.6,1911
20,-8.2,1931,-13.5,1908,-18.2,1986,-17.8,1943,-23.1,1954,-28.1,1954
21,-8.3,1947,-13.5,1914,-18.4,1998,-17.8,1971,-23.1,1994,-27.9,1894
22,-8.3,2020,-13.6,1902,-18.6,1914,-17.8,1979,-22.9,1996 C,-27.8,1974
23,-8.4,1914,-13.7,2010,-18.7,2015,-17.7,1881,-22.5,1943,-27.7,1996 C
24,-8.4,1981,-13.7,2015,-18.7,2016,-17.7,1930,-22.5,1971,-27.5,1929
25,-8.4,2024,-13.8,1921,-18.9,1878,-17.5,1917,-22.5,1974,-27.5,1994
26,-8.5,1921,-13.9,2023,-19.0,1921,-17.4,1884,-22.5,1979,-27.4,1876 E
27,-8.6,2015,-14.0,1906,-19.1,1908,-17.1,1913,-22.2,1877,-27.4,1892
28,-8.9,1973,-14.0,1947,-19.1,1973,-17.1,1974,-22.2,1917,-27.4,1895
29,-9.0,2017,-14.0,1973,-19.2,1891,-16.9,1935,-22.0,1895,-27.4,1969
30,-9.1,1889,-14.1,1981,-19.2,1926,-16.8,1978,-22.0,1935,-27.4,1972
31,-9.1,1891,-,-,-,-,-,-,-22.0,1972,-,-
32,-9.1,1928,-,-,-,-,-,-,-,-,-,-
