Rank,Warmest Avg High,,Warmest Avg Mean,,Warmest Average Low,,Coldest Average High,,Coldest Average Mean,,Coldest Average Low,
1,31.4,1936,24.2,1936,16.9,1936,20.9,1884,15.4,1884,9.7,1891
2,29.8,2006,22.4,1914,16.8,1935,21.1,1992,15.9,1992,9.9,1883
3,29.5,2021,22.4,1916,16.3,1983,22.3,1993,16.2,1891,9.9,1884
4,29.3,2012,22.4,1935,16.2,1916,22.6,1971,16.4,1971,10.1,1972
5,29.1,1886,22.3,2012,16.1,1955,22.7,1891,16.5,2009,10.2,1971
6,28.9,1974,22.2,1957,16.1,1957,22.8,2009,16.8,1883,10.2,2009
7,28.8,1914,22.2,1983,16.1,2026,23.4,1915,17.1,1915,10.6,1918
8,28.8,1939,22.1,1989,15.9,1914,23.6,1904,17.1,1972,10.6,1992
9,28.6,1916,21.9,1923,15.8,1989,23.6,1956,17.5,1904,10.8,1875
10,28.4,1923,21.9,1974,15.6,1963,23.7,1883,17.6,1882,10.8,1915
11,28.4,1975,21.9,2021,15.4,1923,23.8,1882,17.6,1968,10.9,1895
12,28.3,1957,21.8,1963,15.4,1930,23.9,1968,17.7,1895,10.9,2023
13,28.3,1988,21.8,2026,15.3,1943,24.0,1885,17.7,1918,11.0,1900
14,28.3,1989,21.7,1955,15.3,2012,24.0,1911,17.7,1993,11.1,1880
15,28.2,2011,21.6,1930,15.3,2024,24.0,1994,17.9,1911,11.1,1889
16,28.1,1983,21.5,1921,15.1,1921,24.1,1913,17.9,2023,11.3,1904
17,28.0,1935,21.5,1943,14.9,1966,24.1,1958,18.0,1885,11.3,1968
18,28.0,1963,21.5,1975,14.9,1974,24.1,1965,18.0,1913,11.4,1873
19,27.8,1874,21.5,2006,14.7,2020,24.1,1972,18.0,1965,11.4,1882
20,27.8,1878 E,21.4,1939,14.6,1901,24.2,1912,18.1,1994 E,11.4,1887
21,27.8,1910,21.2,2011,14.6,1937,24.2,1950,18.2,1880,11.6,1903
22,27.8,1921,21.1,1886,14.6,1947,24.2,1969,18.2,1896,11.6,1942
23,27.8,1930,21.1,1947,14.6,1975,24.4,1895,18.2,1950,11.6,1951
24,27.8,1960,21.1,1988,14.5,2022,24.4,1896,18.2,2004,11.7,1911
25,27.8,2007 E,21.1,2007 E,14.4,1948,24.4,1962,18.3,1900,11.8,1934
26,27.7,1943,21.0,1877 E,14.4,1964,24.4,1973,18.3,1942,11.8,1967
27,27.6,1877 E,21.0,2024,14.4,1970,24.5,2008,18.3,1973,11.8,1985
28,27.6,1947,20.9,1937,14.4,2001,24.6,2004,18.4,1873,11.8,2004
29,27.5,1881,20.9,1979,14.3,1928,24.8,1905,18.4,1956,11.9,1876
30,27.5,1979,20.9,2020,14.3,1979,24.8,1918,18.4,2008,11.9,1885
31,27.5,2002,-,-,14.3,1991,24.8,1978,-,-,11.9,1913
32,-,-,-,-,14.3,2005,24.8,2023,-,-,11.9,1920
33,-,-,-,-,14.3,2007,-,-,-,-,11.9,1965
34,-,-,-,-,14.3,2021,-,-,-,-,-,-
