Rank,Warmest Avg High,,Warmest Avg Mean,,Warmest Average Low,,Coldest Average High,,Coldest Average Mean,,Coldest Average Low,
1,29.4,1988,22.1,1988,14.6,1988,18.7,1969 C,12.3,1969 C,5.9,1969
2,27.9,1894,21.0,2023,14.6,2023,19.6,1902,13.6,1982,6.5,1982
3,27.8,1910,20.3,1910,14.2,1956,19.7,1935,13.8,1877,7.4,1915
4,27.5,1961,20.2,1894,13.8,1932,19.8,1877,13.9,1915,7.7,1877
5,27.5,2021,20.2,1956,13.8,1991 C,19.9,1985,14.0,1902,7.7,1924
6,27.4,1873,20.2,1995,13.7,1921,20.0,2000,14.0,1985,7.8,1882
7,27.4,1900,20.0,1919,13.5,1919,20.1,1957,14.1,2004,7.8,1886
8,27.3,2023,20.0,1921,13.4,1933,20.3,1926,14.3,1935,7.8,1917
9,27.2,1890,20.0,1932,13.4,1963,20.3,1943,14.5,2000,7.9,2004
10,27.1,1923,19.9,1933,13.4,2018,20.3,2004,14.6,1916,8.0,1958
11,27.1,1995,19.8,1923,13.3,1995,20.4,1915,14.7,1924,8.1,1897
12,26.5,1919,19.8,2021,13.1,1911,20.5,1998,14.7,1957,8.1,1985
13,26.4,1889,19.6,1873,12.9,2005,20.6,1916,14.8,1895,8.2,1889
14,26.4,1933,19.6,2018,12.7,1884,20.6,1982,14.8,1905,8.3,1885
15,26.2,1921,19.5,1890,12.7,1910,20.7,1992,14.8,1943,8.3,1902
16,26.2,1932,19.5,1961,12.6,1893,20.8,1944,14.9,1951,8.4,1875
17,26.2,1956,19.1,1900,12.5,1923,20.8,1905,14.9,1992,8.6,1916
18,26.2,1987,19.0,1963,12.4,1894,20.9,1895,15.0,1885,8.6,1945
19,26.1,1874,19.0,1987,12.4,1931,20.9,1928,15.0,1926,8.6,1950
20,26.1,1878 E,19.0,1991,12.4,1941,21.0,1939,15.0,1940,8.6,1951
21,26.0,1997,18.9,1931,12.4,1962,21.1,1940,15.0,1958,8.6,1964
22,25.7,1912,18.9,1970,12.3,1976,21.1,1951,15.1,1882,8.7,1895
23,25.7,2018,18.8,1997,12.2,1955,21.2,1993,15.1,1939,8.7,1903
24,25.6,1970,18.7,1893,12.2,1970,21.3,1947,15.1,1945,8.7,1905
25,25.4,1922,18.7,2020,12.1,2021,21.6,1925,15.1,1950,8.7,1967
26,25.4,2020,18.5,1911,12.1,2026,21.6,1945,15.2,1897,8.9,1935
27,25.3,1931,18.5,1996,12.0,1994,21.6,1950,15.3,1928,8.9,1940
28,25.3,1972 E,18.4,1962,11.9,1896,21.6,1954,15.3,1964,8.9,2000
29,25.2,1887,18.3,1874,11.9,1930,21.6,1968,15.4,1917,8.9,2008
30,25.2,1996 C,18.3,1884,11.9,2020,21.7,1885,15.4,1968,9.0,1876
31,25.2,2006,18.3,1913,-,-,21.7,1924,-,-,-,-
32,25.2,2019,18.3,1976,-,-,-,-,-,-,-,-
