Rank,Warmest Avg High,,Warmest Avg Mean,,Warmest Average Low,,Coldest Average High,,Coldest Average Mean,,Coldest Average Low,
1,8.0,2012,2.2,2012,-3.4,1878,-9.0,1899,-16.1,1899,-23.2,1899
2,7.2,1910,1.6,1878,-3.6,2012,-8.2,1877,-15.4,1877,-23.0,1883
3,6.6,1878,1.2,1910,-3.7,1973,-8.2,1955,-15.2,1883,-22.5,1877
4,6.5,2021,0.5,1973,-4.8,1910,-8.0,1880,-14.9,1880,-21.8,1880
5,6.0,2000,-0.1,2000,-5.5,2010,-7.9,1932,-14.5,1888,-21.6,1893
6,4.8,1918,-0.4,2021,-5.6,1946,-7.8,1888,-14.2,1876,-21.1,1888
7,4.7,1973,-0.6,2010,-5.9,1945,-7.7,1965,-14.2,1923,-20.9,1890
8,4.6,1938,-1.0,1981,-6.1,2000,-7.6,1923,-13.9,1955,-20.8,1876
9,4.5,1981,-1.3,1946,-6.5,1981,-7.5,1876,-13.8,1965,-20.7,1885
10,4.4,2010,-1.4,1945,-6.7,1958,-7.4,1883,-13.7,1890,-20.7,1923
11,3.4,1889,-1.6,1918,-6.8,1927,-7.3,1996,-13.3,1893,-19.8,1874
12,3.1,1946,-1.7,1938,-6.9,1942,-7.1,1943,-13.2,1872,-19.8,1965
13,3.1,1945,-2.0,2016,-6.9,2016,-6.8,1884,-13.2,1885,-19.7,1872
14,2.9,1994,-2.3,1958,-7.3,2021,-6.7,1913,-13.1,1884,-19.7,1970
15,2.9,2015,-2.4,1927,-7.4,1985,-6.6,1872,-13.1,1970,-19.6,1887 C
16,2.9,2016,-2.4,1994,-7.5,1999,-6.4,1890,-13.0,1996,-19.6,1955
17,2.7,1999,-2.4,1999,-7.6,1994,-6.4,1970,-12.8,1913,-19.4,1884
18,2.3,1977,-2.5,1942,-7.9,1918,-6.4,2014,-12.8,1932,-19.4,1891
19,2.1,1902,-2.8,1977,-7.9,1977,-6.1,2002,-12.7,2014,-19.2,1875
20,2.1,1958,-2.8,1985,-8.0,1938,-5.8,1944,-12.6,1874,-19.2,1908
21,2.0,1927,-2.9,1889,-8.1,1983,-5.7,1885,-12.5,1908,-18.9,1882
22,2.0,1942,-3.0,2015,-8.3,1902,-5.7,1908,-12.4,1891,-18.9,1913
23,1.9,1968,-3.1,1902,-8.5,1992,-5.7,1950,-12.3,1943,-18.9,2014
24,1.8,1985,-3.8,1968,-8.6,1990,-5.7,1960,-12.2,1887 C,-18.7,1897
25,1.2,1963,-4.0,1922,-8.8,1922,-5.6,1948,-12.1,1875,-18.7,1996
26,0.9,1922,-4.1,1990,-8.9,1961,-5.6,1956,-12.0,1882,-18.6,1964
27,0.8,1911,-4.2,1961,-8.9,2015,-5.6,1975,-12.0,1964,-18.1,1873
28,0.8,1986,-4.3,1992,-9.2,1889,-5.5,1989,-11.7,2002,-17.9,1896
29,0.8,2025,-4.4,1986,-9.2,1987,-5.4,1891,-11.6,1897,-17.6,1932
30,0.7,1929,-4.5,1924,-9.2,1995,-5.4,1964,-11.4,1873,-17.5,1943
31,-,-,-4.5,1988,-,-,-5.4,2023,-,-,-,-
