Rank,Warmest Avg High,,Warmest Avg Mean,,Warmest Average Low,,Coldest Average High,,Coldest Average Mean,,Coldest Average Low,
1,24.4,1977,17.8,1977,11.1,1977,11.1,1907,4.4,1907,-2.3,1907
2,23.8,1980,15.8,2023,9.2,1922,12.6,1979,5.7,1890,-1.6,1890
3,23.4,1900,15.7,1922,8.8,1991,13.0,1890,7.1,1924,-0.9,1888
4,23.4,2023,15.7,1980,8.1,2023,13.2,1892,7.1,1945,0.4,1924
5,23.0,2025,14.8,1987,7.8,1941,13.3,1945,7.4,1888,0.4,2002
6,22.8,1901,14.7,2025 E,7.5,1978 E,13.5,1927,7.4,1979,0.6,1883
7,22.8,2018 E,14.6,1901,7.5,1980,13.6,1954,7.4,2004,0.6,2008
8,22.6,1987,14.6,1972,7.3,1926,13.6,1974,7.6,1883,0.7,1983
9,22.4,1988,14.6,1988,7.3,1986,13.6,2004,7.8,1892,0.7,1997
10,22.3,1972,14.6,1991,7.2,1982,13.8,1924,7.9,1947,0.9,1945
11,22.1,1919,14.5,2018 E,7.1,1955,13.9,1950,8.0,1954,1.1,1889
12,22.1,1922,14.4,1978 E,6.9,1896,14.1,1947,8.0,1967,1.1,1967
13,21.8,1936,14.4,1919,6.9,1987,14.5,1883,8.0,2002,1.2,2004
14,21.6,1874,14.3,1926,6.8,1902,14.9,1966,8.1,1997,1.4,2009
15,21.4,1978,14.2,1936,6.8,1972,14.9,1967,8.3,1983,1.5,1891
16,21.4,1989,14.1,1900,6.8,1988,15.0,1943,8.3,2009,1.6,1947
17,21.3,1926,14.0,1986,6.8,2016,15.1,1929,8.4,2008,1.9,1910
18,21.2,2016,14.0,2016,6.7,1944,15.1,1956,8.6,1974,1.9,1917
19,20.9,1934,13.8,1989,6.6,1881,15.1,2009,8.8,1929,1.9,2019
20,20.8,1881,13.7,1881,6.6,1919,15.2,1878,8.8,1966,2.0,1971
21,20.8,1928,13.6,1941,6.6,1936,15.2,1970,9.0,1878,2.0,1979
22,20.8,1951,13.5,1934,6.6,1937,15.4,1872,9.1,1950,2.3,1892
23,20.6,1985,13.5,1944,6.5,2001,15.4,1997,9.2,1943,2.3,1954
24,20.6,1986,13.4,1951,6.4,1901,15.6,1888,9.2,1956,2.4,1906
25,20.6,2003,13.4,1982,6.4,1939,15.6,1959,9.3,1970,2.5,1929
26,20.5,1887,13.3,1874,6.4,2025 E,15.6,2002,9.3,1996 C,2.5,1996
27,20.3,1898,13.3,1928,6.3,2007,15.7,1930,9.4,1906,2.6,1990
28,20.2,1944,13.2,1887,6.2,1880,15.7,1942,9.4,1910,2.6,2021
29,20.2,1976,13.1,1877,6.2,2024,15.9,1968,9.4,1927,2.7,1918
30,20.2,1991,13.1,1939,6.1,1877,15.9,1983,9.4,1968,2.7,1966
31,-,-,13.1,1985,6.1,1934,-,-,-,-,2.7,1984
32,-,-,-,-,6.1,1957,-,-,-,-,-,-
33,-,-,-,-,6.1,1999,-,-,-,-,-,-
34,-,-,-,-,6.1,2018,-,-,-,-,-,-
