Rank,Warmest Avg High,,Warmest Avg Mean,,Warmest Average Low,,Coldest Average High,,Coldest Average Mean,,Coldest Average Low,
1,7.2,2016,3.1,2016,-1.0,2016,-9.1,1896,-14.0,1896,-19.0,1875
2,7.1,2009,1.3,1899,-3.2,1923,-7.6,1875,-13.3,1875,-18.8,1896
3,6.4,1999,1.3,1923,-3.3,1899,-7.5,1985,-11.9,1881,-17.0,1996
4,5.8,1899,1.0,1981,-3.3,1922,-6.9,1881,-11.9,1985,-16.8,1881
5,5.8,1923,0.9,2001,-3.5,1981,-6.7,1996,-11.9,1996,-16.3,1985
6,5.7,2001,0.8,2009,-3.6,1917,-6.6,1995,-10.8,1880,-16.0,1880
7,5.5,1981,0.6,1999,-3.7,1953,-5.8,1919,-10.7,1873,-15.8,1873
8,5.3,1939,0.5,1917,-3.9,2001,-5.8,1935,-10.6,1995,-15.6,1876
9,5.2,1904,0.2,1922,-4.3,1918,-5.6,1873,-10.5,1919,-15.3,1874
10,4.6,1917,0.1,1953,-4.3,1944,-5.6,1880,-10.3,1935,-15.1,1883
11,4.6,2004,0.0,1904,-4.3,1954,-5.6,1955,-10.0,1874,-15.1,1892
12,4.4,1878,-0.5,1913,-4.4,1913,-5.3,1926,-10.0,1876,-15.1,1919
13,3.9,1890,-0.5,1939,-4.4,1949,-5.1,1986,-9.9,1966,-15.1,1966
14,3.8,1953,-0.6,1954,-4.5,2024,-5.0,1959,-9.7,1883,-14.8,1886
15,3.8,1987,-0.7,1878,-4.6,1912,-4.9,1927,-9.6,1893,-14.8,1891
16,3.6,1922,-0.8,1987,-4.6,1928,-4.7,1991,-9.6,1986,-14.8,1935
17,3.6,1963,-0.8,2024,-4.6,1934,-4.6,1874,-9.5,1897,-14.7,1893
18,3.5,1913,-0.9,1918,-4.7,2015 C,-4.6,1966,-9.4,1892,-14.7,1897
19,3.1,1931,-0.9,1931,-4.9,1931,-4.4,1876,-9.3,1891,-14.6,1995
20,3.1,1954,-0.9,1949,-5.1,1983,-4.4,1893,-9.2,1955,-14.2,1887
21,3.1,1975,-0.9,2004,-5.2,1904,-4.4,2018,-9.0,1900,-14.1,1986
22,3.1,2025,-0.9,2015 E,-5.2,1962,-4.3,2014,-8.8,2014,-13.9,1900
23,2.8,1994,-1.0,1928,-5.2,1999,-4.2,1883,-8.7,1959,-13.7,1978
24,2.8,2015,-1.1,2025,-5.3,1987,-4.2,1897,-8.6,1886,-13.3,2014
25,2.8,2020,-1.2,1934,-5.3,2025,-4.2,1929,-8.5,1991,-12.9,1903
26,2.8,2024,-1.5,1963,-5.6,2009,-4.1,1921,-8.4,1978,-12.9,1989
27,2.7,1928,-1.6,1962,-5.7,1878,-4.0,1900,-8.1,1887,-12.8,1911
28,2.6,1918,-1.7,1890,-6.0,1908,-3.9,1945,-8.1,1926,-12.7,1955
29,2.6,1949,-1.7,1912,-6.0,2023,-3.9,1950,-8.1,1927,-12.6,1894
30,2.4,1980,-1.8,1994,-6.2,1956,-3.8,1872,-8.1,1933,-12.6,1895
31,-,-,-,-,-6.2,1968,-3.8,1891,-,-,-12.6,1933
32,-,-,-,-,-6.2,2011,-3.8,1973,-,-,-12.6,1965
