Rank,Warmest Avg High,,Warmest Avg Mean,,Warmest Average Low,,Coldest Average High,,Coldest Average Mean,,Coldest Average Low,
1,19.5,1963,12.8,1963,6.1,1963,4.2,1925,-0.5,2002,-6.3,1887
2,16.5,1914,10.6,1914,5.0,1924,4.8,1917,0.4,1887,-5.9,2002
3,15.8,1924,10.4,1924,4.7,1914,4.9,2002,0.6,1925,-4.3,1919
4,15.7,1953,10.0,1947,4.3,1940,5.3,1959,0.8,1917,-4.2,1881
5,15.6,1920,9.9,1953,4.3,1947,5.8,1919,0.8,1919,-3.8,1936
6,15.6,1947,9.5,1920,4.0,1953,6.1,1969,1.3,1881,-3.8,2020
7,15.4,1938,9.3,1940,3.8,1931,6.7,1932,1.8,1991,-3.5,1972
8,15.1,1943,9.2,1938,3.8,2025,6.8,1881,1.8,2020,-3.5,1976 C
9,14.9,1948,9.0,1931,3.6,1994,6.8,2019,1.9,1936,-3.4,1878 E
10,14.6,2024,8.7,2021,3.3,1920,6.9,1883,2.0,1878 E,-3.3,1895
11,14.5,2011,8.7,2025,3.0,1938,6.9,1939,2.2,1873,-3.3,1917
12,14.5,2021,8.3,1943,3.0,1956,7.0,1887,2.3,1959,-3.3,1991
13,14.3,1901,8.3,1948,2.9,1927,7.0,1991,2.4,1933,-3.1,1896
14,14.3,1940,8.3,2011,2.8,2021,7.1,2018,2.5,1883,-3.1,1925
15,14.3,2010 E,8.2,1910,2.7,1934,7.2,1898,2.5,1969,-3.0,1873
16,14.2,1910,8.2,1956,2.7,1973,7.3,1873,2.5,1972,-2.8,1885
17,14.1,1931,8.2,1962,2.3,1929,7.3,1878 E,2.6,1913,-2.7,1880
18,14.1,1962,8.1,1994,2.3,1950,7.3,1916,2.7,1932,-2.7,1933
19,13.8,1900,8.1,2010 E,2.3,1957,7.3,2009,2.7,1939,-2.6,1875
20,13.8,1903,7.9,1973,2.3,2016,7.4,1933,2.8,1875,-2.4,1876
21,13.6,1942,7.9,2024,2.2,1910,7.4,2020,2.8,2018,-2.4,1889
22,13.6,1977,7.8,1900,2.2,1962,7.5,1913,2.9,1880,-2.4,1988
23,13.6,2025,7.8,1927,2.1,1921,7.6,1936,2.9,1976 C,-2.4,1993
24,13.4,1886,7.6,1929,2.1,2011,7.8,1930,3.0,1916,-2.3,1913
25,13.3,1892,7.6,1942,1.9,1904,8.2,1875,3.0,1993,-2.3,1987
26,13.3,1944,7.5,1921,1.9,1908,8.3,1926,3.1,1876,-2.2,1877
27,13.3,1956,7.5,1934,1.9,1982,8.3,2012,3.1,1896,-2.1,1893
28,13.3,1965,7.5,1977,1.9,2010,8.4,1880,3.3,1898,-2.1,1905
29,13.1,1874 E,7.3,1957,1.8,1900,8.4,1972,3.4,1885,-1.9,1883
30,13.1,1915,7.3,1958,1.7,1958,8.5,1876,3.4,1893,-1.7,1999
31,-,-,-,-,1.7,2005,8.5,1993,3.4,1905,-1.7,2006
32,-,-,-,-,-,-,-,-,3.4,1987,-,-
33,-,-,-,-,-,-,-,-,3.4,2009,-,-
34,-,-,-,-,-,-,-,-,3.4,2019,-,-
