Rank,Warmest Avg High,,Warmest Avg Mean,,Warmest Average Low,,Coldest Average High,,Coldest Average Mean,,Coldest Average Low,
1,24.6,1897,17.8,2024,11.4,2009,13.4,1873,8.0,1965,2.4,1918
2,24.5,2024,17.7,2009,11.0,2024,13.6,1965,8.6,1873,2.4,1965
3,24.1,1940,16.8,1948,10.0,2025,15.0,1934,9.4,1918,3.2,1886
4,24.0,1948,16.6,1940,9.9,2023,15.0,1985,9.5,1886,3.4,1879
5,24.0,2009,16.3,1897,9.8,1931,15.2,1884,9.8,1903,3.4,1974
6,23.8,1906,16.2,2023,9.5,1948,15.6,1926,9.9,1974,3.5,1903
7,22.9,1938,16.1,1906,9.4,2015,15.7,1886,10.0,1985,3.6,1896
8,22.9,1967,16.1,2025,9.1,1940,15.8,1872,10.2,1889,3.7,1873
9,22.8,2021,15.8,2015,9.0,1920,15.8,1993,10.2,1890,3.9,1890
10,22.5,2023,15.8,2021,8.9,2004,16.1,1880,10.2,1896,3.9,1895
11,22.3,2013,15.6,1931,8.8,1921,16.1,1903,10.3,1881,4.0,1883
12,22.2,2015,15.6,1967,8.8,2021,16.1,1956,10.3,1934,4.0,1889
13,22.1,2025,15.4,1920,8.6,1978,16.3,1881,10.3,1972,4.1,1972
14,21.9,1963,15.4,2013,8.6,2016,16.3,1889,10.3,1993,4.2,1881
15,21.7,1920,15.2,1938,8.5,1927,16.3,1954,10.4,1880,4.2,1885
16,21.6,1905,14.9,1923,8.5,2013,16.3,1974,10.4,1907,4.2,1899
17,21.6,1909,14.8,1905,8.5,2019,16.3,1984 E,10.5,1879,4.4,1907
18,21.5,1923,14.7,1908,8.4,1922,16.4,1907,10.6,1956,4.4,1964
19,21.3,1931,14.6,1963,8.4,1933,16.4,1918,10.6,1984,4.4,1975
20,21.3,1998,14.6,1978,8.3,1906,16.4,1951,10.7,2018,4.6,1875
21,21.2,1908,14.6,2004,8.3,1923,16.5,1890,10.8,1883,4.7,1880
22,21.2,1976,14.5,1909,8.3,1967,16.5,1972,10.8,1884,4.7,2012
23,21.2,1997,14.4,2005,8.2,1908,16.5,2018,10.8,1904,4.8,1887
24,21.1,1952,14.4,2016,8.2,2017,16.6,1912,10.8,1926,4.8,1902
25,21.1,2011,14.3,1922,8.1,1977,16.6,1945,10.9,1975,4.8,1984
26,21.0,1989,14.3,1952,8.0,1905,16.6,1977,11.0,1872,4.8,1993
27,21.0,2005,14.2,1994,8.0,1944,16.7,1896,11.0,1964,4.8,2018
28,20.9,1990,14.2,1997,8.0,1968,16.7,1904,11.0,1992,4.8,2020
29,20.9,1994,14.2,2011,7.9,1897,16.7,1929,11.1,1895,4.9,1904
30,20.8,1874,14.2,2017,7.9,1914,16.8,1935,11.1,1935,4.9,1992
31,-,-,-,-,-,-,16.8,1941,11.1,1951,-,-
32,-,-,-,-,-,-,16.8,2010,-,-,-,-
