Rank,Warmest Avg High,,Warmest Avg Mean,,Warmest Average Low,,Coldest Average High,,Coldest Average Mean,,Coldest Average Low,
1,14.2,1977,7.5,1977,0.6,1977,3.4,1950,-2.4,1883,-9.3,1888
2,13.2,2012,6.8,2012,0.3,1878,3.8,1979,-2.3,1888,-9.2,1883
3,12.9,2010,6.6,2010,0.3,2010,3.9,1907,-1.9,1893,-9.0,1893
4,12.8,1987,6.3,1987,0.3,2012,4.0,1996,-1.9,1907,-8.6,1890
5,12.4,1910,6.0,1878,-0.1,1922,4.2,1956,-1.8,1996 E,-8.1,1874
6,12.2,1900,5.7,1922,-0.1,1991,4.4,1883,-1.6,1890,-7.9,1877
7,12.2,1988,5.6,1910,-0.3,1987,4.7,1872,-1.4,1872,-7.7,1880
8,12.2,2000,5.5,1985,-0.4,1999,4.7,1888,-1.3,1880,-7.7,1899
9,12.1,1985,5.5,1991,-0.6,1927,4.7,1970,-1.2,1950,-7.7,1907
10,12.0,1980,5.5,1999,-0.7,1946,4.8,1997,-1.1,1997,-7.5,1996
11,11.9,1915,5.4,1915,-0.8,1958,4.9,1884,-1.0,1899,-7.4,1872
12,11.9,2021,5.3,1946,-0.8,2006,5.1,1880,-1.0,1979,-7.1,1882
13,11.8,1878,5.3,1958,-0.9,2016,5.1,1954,-0.8,1970,-7.1,2002
14,11.7,1981,5.1,1988,-1.0,1985,5.1,1974,-0.7,1874,-6.9,1875
15,11.5,1889,5.1,2006,-1.1,1986,5.3,1892,-0.7,1877,-6.9,1876
16,11.4,1901,4.9,1998,-1.2,1915,5.3,1893,-0.7,1884,-6.9,1885
17,11.4,1918,4.9,2000 C,-1.2,1942,5.3,2013,-0.7,1956,-6.9,1997
18,11.4,1922,4.9,2016,-1.3,1910,5.4,1890,-0.6,2002,-6.8,1923
19,11.4,1998,4.8,1981,-1.6,1902,5.6,1899,-0.6,2013,-6.5,2013
20,11.4,2015,4.7,1986,-1.6,1998,5.6,2014,-0.4,1882,-6.3,1884
21,11.3,1958,4.7,2025 E,-1.7,1941,5.6,2022,-0.4,2014,-6.3,1970
22,11.3,2025,4.6,1918,-1.8,1992,5.7,1965,-0.3,1885,-6.2,1873
23,11.2,1946,4.5,1911,-1.8,2001,5.9,1943,-0.3,1974,-6.2,1967
24,11.2,1999,4.5,1952,-1.8,2024,5.9,1947,-0.2,1923,-6.2,2014
25,11.1,1895,4.5,1980,-1.8,2025,5.9,2002,-0.1,1875,-6.1,1887 C
26,11.1,1952,4.5,1994 C,-1.9,1911,6.0,1967,-0.1,1876,-6.1,1891
27,11.0,1991,4.5,2015,-1.9,1957,6.3,1882,-0.1,1892,-5.9,1979
28,11.0,1994 C,4.5,2021,-1.9,1973,6.3,1885,-0.1,1967,-5.8,1965
29,10.9,2006,4.4,1973,-2.0,1981,6.5,1877,0.0,1965,-5.7,1897
30,10.8,1911,4.3,1902,-2.0,1994 C,6.5,1909,0.1,1954,-5.7,1950
31,10.8,2016,-,-,-,-,6.5,1923,-,-,-5.7,1956
32,-,-,-,-,-,-,6.5,1962,-,-,-5.7,1974
