Rank,Warmest Avg High,,Warmest Avg Mean,,Warmest Average Low,,Coldest Average High,,Coldest Average Mean,,Coldest Average Low,
1,28.2,1988,21.1,1988,14.4,1955,21.3,1992,15.5,2004,9.3,2004
2,27.8,1961,20.6,1983,14.1,1983,21.8,2004,15.7,1992,9.5,1883
3,27.4,1894,20.4,1961,14,1963,22,1968,16.1,1885,9.5,1895
4,27.4,2021,20.2,1955,14,1991 C,22.1,1993,16.2,1891,9.6,1915
5,27.3,2006,20.2,2021,13.9,1988,22.2,1884,16.2,1968,9.7,1885
6,27,1983,20.1,1930,13.7,1930,22.4,1885,16.3,1895,9.7,1891
7,26.9,1878 E,20.1,1963,13.3,1921,22.4,1985,16.4,1883,9.8,1875
8,26.9,2012,19.9,1933,13.3,1932,22.5,2009,16.4,1985,9.9,1889
9,26.8,1936,19.9,1991,13.3,1956,22.6,1891,16.5,2009,10,1888
10,26.7,1886,19.9,1995,13.3,1959,22.7,1904,16.6,1884,10.1,1903
11,26.6,1910,19.8,1919,13.2,1919,22.8,1977,16.6,1950,10.1,1967
12,26.6,1933,19.8,1921,13.2,1931,22.9,1950,16.7,1904,10.1,1992
13,26.6,1995,19.8,1936,13.2,1933,23,1895,16.7,1915,10.3,1887
14,26.6,2018,19.8,2006,13.2,1995,23.1,1951,16.8,1951,10.3,1950
15,26.5,1930,19.8,2012,13.2,2005,23.2,1982,16.8,1977,10.3,1968
16,26.4,1874,19.7,1932,13.2,2026,23.3,1944,16.8,1982,10.3,1972
17,26.4,1889,19.7,2018,13.1,2021,23.4,1883,16.9,1924,10.3,1985
18,26.4,1900,19.7,2020,13,1947,23.4,1905,17,1993,10.4,1882
19,26.4,1919,19.6,1894,13,1961,23.4,1928,17.1,1903,10.4,1886
20,26.4,1920,19.6,1949,12.9,1949,23.4,1958,17.2,1888,10.4,1924
21,26.4,1923,19.5,1923,12.9,1989,23.4,1969 C,17.2,1897,10.4,1951
22,26.4,2020,19.5,1931,12.9,2020,23.5,1924,17.2,1958,10.4,1982
23,26.3,1921,19.5,1937,12.8,1937,23.5,1927,17.2,1969,10.4,2009
24,26.3,2011,19.5,2011,12.8,1957,23.5,1954,17.3,1880,10.5,1904
25,26.2,1937,19.4,1878 E,12.8,1984,23.6,1880,17.3,1898,10.6,1876
26,26.2,1949,19.4,1959,12.8,2010,23.7,1897,17.3,1902,10.6,1897
27,26.2,1963,19.4,1970,12.8,2022,23.7,1898,17.3,1905,10.7,1902
28,26.2,1970,19.4,1989,12.8,2024,23.7,1912,17.4,1882,10.7,1918
29,26.2,2003,19.3,1920,12.7,1936,23.7,1926,17.4,1912,10.8,1898
30,26.1,1929,19.3,2026,12.7,1962,23.7,1934,17.4,1934,10.8,1945
31,26.1,1932,-,-,12.7,1970,23.7,1935,17.4,1965,10.8,1965
32,-,-,-,-,12.7,2011,23.7,1994,17.4,1967,10.8,1977
33,-,-,-,-,12.7,2012,23.7,2000,-,-,-,-
34,-,-,-,-,12.7,2018,-,-,-,-,-,-
