Rank,Warmest Avg High,,Warmest Avg Mean,,Warmest Average Low,,Coldest Average High,,Coldest Average Mean,,Coldest Average Low,
1,-2.3,1877/78,-7.2,1877/78,-11.7,1997/98,-16.9,1884/85,-23.0,1874/75,-29.5,1874/75
2,-4.0,2023/24,-8.1,2023/24,-12.1,1877/78,-16.9,1886/87,-22.9,1886/87,-28.9,1886/87
3,-4.5,2011/12,-8.2,1997/98,-12.2,2023/24,-16.6,1935/36,-22.3,1883/84,-28.7,1883/84
4,-4.7,1997/98,-9.5,1986/87,-13.7,1986/87,-16.4,1874/75,-22.3,1884/85,-27.7,1892/93
5,-5.2,1986/87,-9.7,2011/12,-14.2,1930/31,-15.9,1882/83,-21.7,1882/83,-27.6,1884/85
6,-6.0,1999/00,-10.1,1930/31,-14.7,2011/12,-15.9,1883/84,-21.5,1892/93,-27.4,1879/80
7,-6.1,1930/31,-10.8,1991/92,-15.3,2005/06,-15.8,1978/79,-21.5,1935/36,-27.4,1882/83
8,-6.2,1991/92,-10.8,2005/06,-15.4,1982/83,-15.7,1916/17,-21.2,1887/88,-26.8,1887/88
9,-6.3,2005/06,-10.9,1982/83,-15.4,1991/92,-15.6,1887/88,-21.0,1879/80,-26.5,1875/76 E
10,-6.4,1982/83,-11.3,2015/16,-15.4,2015/16,-15.2,1892/93,-20.8,1978/79,-26.5,1893/94
11,-6.5,2001/02,-11.6,1999/00,-16.2,2016/17,-15.2,1949/50,-20.3,2013/14,-26.3,1935/36
12,-6.8,1907/08,-11.7,1939/40,-16.3,1939/40,-14.7,2013/14,-20.2,1916/17,-26.1,1889/90
13,-6.9,1901/02,-11.7,2001/02,-16.7,1925/26,-14.6,1879/80,-20.1,1889/90,-25.8,2013/14
14,-7.1,1939/40,-12.1,1907/08,-16.9,1931/32,-14.3,1872/73,-19.9,1949/50,-25.7,1978/79
15,-7.1,1943/44,-12.2,1941/42,-16.9,1957/58,-14.3,1917/18,-19.8,1872/73,-25.6,1880/81
16,-7.1,2015/16,-12.2,2016/17,-16.9,1959/60,-14.1,1977/78,-19.8,1875/76 E,-25.4,1872/73 E
17,-7.3,1941/42,-12.2,2020/21,-16.9,2001/02,-13.9,1880/81,-19.8,1880/81,-25.4,1903/04
18,-7.3,2020/21,-12.3,1920/21,-17.0,1918/19,-13.9,1889/90,-19.8,1893/94,-25.1,1898/99
19,-7.5,1920/21,-12.3,1957/58,-17.0,1920/21,-13.8,1964/65,-19.4,1903/04,-25.0,1885/86
20,-7.6,1957/58,-12.4,1931/32,-17.1,1941/42,-13.7,1958/59,-19.4,1964/65,-24.9,1964/65
21,-7.7,1931/32,-12.5,1943/44,-17.1,1999/00,-13.6,1971/72,-19.2,1898/99,-24.6,1916/17
22,-7.9,1905/06,-12.6,1918/19,-17.1,2020/21,-13.5,1993/94,-19.1,1885/86,-24.5,1878/79 E
23,-7.9,2019/20,-12.6,1925/26,-17.3,1998/99,-13.4,1903/04,-19.1,1917/18,-24.5,1949/50
24,-8.0,1980/81,-12.6,1959/60,-17.4,1907/08,-13.3,1875/76 E,-18.9,1878/79 E,-24.5,1961/62
25,-8.0,2016/17,-12.7,1901/02,-17.4,1952/53,-13.2,1878/79 E,-18.8,1961/62,-24.4,1906/07
26,-8.1,1923/24,-12.8,1998/99,-17.6,2019/20,-13.2,1898/99,-18.8,1971/72,-24.2,1876/77
27,-8.2,1918/19,-12.8,2019/20,-17.7,1923/24,-13.2,1924/25,-18.7,1906/07,-24.1,1971/72
28,-8.2,1959/60,-12.9,1923/24,-17.8,1943/44,-13.2,1973/74,-18.7,1958/59,-24.1,1973/74
29,-8.3,1925/26,-13.0,1952/53,-18.3,1944/45,-13.2,1995/96 E,-18.7,1973/74,-24.0,1873/74 E
30,-8.3,1998/99,-13.2,1980/81,-18.3,1953/54,-13.1,1885/86,-18.7,1977/78,-24.0,1965/66
31,-,-,-,-,-18.3,1980/81,-13.1,1942/43,-,-,-,-
32,-,-,-,-,-,-,-13.1,1948/49,-,-,-,-
