Rank,Warmest Avg High,,Warmest Avg Mean,,Warmest Average Low,,Coldest Average High,,Coldest Average Mean,,Coldest Average Low,
1,11.1,1987,5.5,1987,0.1,1931,4.4,1884,-1.7,1883,-8.2,1883
2,10.9,2021,5.4,2024,0.0,2024,4.7,1883,-1.3,1875,-8.0,1875
3,10.7,1878,5.3,1931,-0.2,1987,5.1,1950,-1.1,1884,-7.5,1893
4,10.7,2024,4.7,1878,-0.7,2016,5.5,1875,-0.9,1893,-7.4,1887 C
5,10.5,1931,4.7,1998,-0.9,1998,5.6,1893,-0.7,1876 E,-7.2,1876 E
6,10.5,2006,4.6,2012,-1.3,1878,5.7,1880,-0.5,1880,-6.6,1880
7,10.5,2012,4.6,2016,-1.3,1928,5.8,1996,-0.5,1887 C,-6.6,1884
8,10.2,1998,4.5,2006,-1.3,2010,5.9,1876 E,-0.2,1885,-6.3,1885
9,10.1,1981,4.5,2021,-1.4,1981,5.9,1885,-0.1,1950,-6.3,1888
10,10.1,2015,4.4,1981,-1.4,2012,6.1,1979,0.1,1888,-6.2,1886
11,10.0,1999,4.3,1999,-1.5,1999,6.3,1887,0.1,1996,-6.0,1874 E
12,9.9,2016,4.2,2015,-1.5,2006,6.4,1879 E,0.3,1879 E,-5.9,1881
13,9.8,1988,4.2,2023,-1.5,2023,6.4,1888,0.4,1892,-5.9,1890
14,9.7,1952,4.1,2010,-1.7,1953,6.5,1892,0.5,1872 E,-5.8,1879 E
15,9.7,2023,4.0,2025,-1.7,2015,6.5,1917,0.5,1873,-5.7,1873
16,9.7,2025,3.9,1952,-1.8,1930,6.5,1951,0.6,1881,-5.7,1892
17,9.6,1910,3.8,1928,-1.8,1952,6.5,1966,0.6,1890,-5.6,1895
18,9.5,1900,3.8,2001,-1.8,1983,6.6,1916,0.7,1886,-5.5,1896
19,9.5,1938 E,3.7,1922,-1.8,2021,6.6,1972,0.7,1966,-5.5,1996
20,9.5,1963,3.7,1988,-1.8,2025,6.7,1873,0.7,1972,-5.3,1950
21,9.5,2001,3.7,2011,-1.9,1921,6.7,1907,0.7,1979,-5.2,1891
22,9.5,2010,3.6,1915,-1.9,1922,6.7,1965,0.8,1896,-5.2,1972
23,9.5,2011,3.6,1921,-1.9,1941,6.8,1936,0.8,1907,-5.1,1882
24,9.5,2020,3.6,1953,-1.9,1991,6.9,1935,0.9,1917,-5.1,1897
25,9.3,1902,3.6,2020,-2.0,2001,6.9,2014,0.9,1936,-5.1,1907
26,9.3,1915,3.5,1963,-2.1,1915,7.0,1890,0.9,1965,-5.1,1966
27,9.3,1922,3.5,1983,-2.1,2005 E,7.0,1904,1.0,1874 E,-5.0,1899
28,9.3,1923,3.5,1991,-2.1,2011,7.0,1927,1.0,1882,-5.0,1936
29,9.3,1961,3.4,1910,-2.2,1944,7.0,1945,1.1,1895,-5.0,1965
30,9.3,1990,3.4,1938 E,-2.2,1954,7.0,1956,1.2,1891,-4.8,1903
31,-,-,3.4,2005,-2.2,1958,7.0,1985,1.2,1899,-,-
32,-,-,3.4,2017,-2.2,2017,-,-,1.2,1904,-,-
33,-,-,-,-,-,-,-,-,1.2,2014,-,-
